                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2902,                 4.5502,                 4.0839,                0.63274,                0.02921,                0.00341,                0.00078,                 3.0886,                 5.6303,                 3.8682,             0.00025535,             0.00025535,             0.00025535
                      2,                 2.7907,                 4.1937,                 3.3733,                0.76575,                0.04467,                0.01133,                0.00287,                 2.6353,                 4.6251,                 3.2839,             0.00047272,             0.00047272,             0.00047272
                      3,                  2.278,                 3.8201,                 2.8177,                0.72824,                0.04344,                0.02677,                0.00923,                 2.3315,                  4.093,                 2.9694,             0.00065105,             0.00065105,             0.00065105
                      4,                 2.0942,                 3.6585,                 2.6818,                0.81267,                0.06447,                0.05377,                0.02364,                  2.097,                 3.6175,                 2.7278,             0.00059331,             0.00059331,             0.00059331
                      5,                 2.0047,                 3.3704,                  2.564,                 0.5152,                0.06359,                0.06481,                 0.0316,                 2.0643,                 3.4514,                 2.6745,             0.00059331,             0.00059331,             0.00059331
                      6,                 1.9007,                 3.1808,                 2.4756,                0.50922,                0.08415,                0.08943,                0.04486,                 1.9717,                 3.2337,                  2.544,             0.00053475,             0.00053475,             0.00053475
                      7,                 1.8679,                   3.05,                 2.4264,                0.41783,                0.13734,                0.10755,                0.05627,                 1.9281,                 3.0275,                 2.4456,             0.00047619,             0.00047619,             0.00047619
                      8,                 1.8039,                 2.9143,                 2.3574,                0.43443,                0.13243,                0.12872,                0.06828,                 1.8984,                 3.0047,                 2.4392,             0.00041763,             0.00041763,             0.00041763
                      9,                   1.75,                 2.7958,                 2.3047,                0.44778,                0.16047,                0.14037,                 0.0723,                 1.8448,                 2.8544,                 2.3673,             0.00035906,             0.00035906,             0.00035906
                     10,                 1.7253,                  2.721,                 2.2679,                 0.4449,                0.17021,                0.14388,                0.07699,                  1.846,                 2.8087,                 2.3473,              0.0003005,              0.0003005,              0.0003005
                     11,                  1.685,                 2.6348,                 2.2284,                0.36592,                0.18024,                0.16436,                0.08883,                 1.7932,                 2.6551,                 2.2903,             0.00024194,             0.00024194,             0.00024194
                     12,                 1.6504,                 2.5472,                 2.1902,                0.38471,                0.18159,                0.18145,                0.10129,                 1.7416,                 2.5799,                 2.2557,             0.00018338,             0.00018338,             0.00018338
                     13,                 1.6181,                  2.485,                 2.1631,                0.35438,                0.18997,                0.18649,                0.10832,                 1.7264,                 2.5328,                 2.2374,             0.00012481,             0.00012481,             0.00012481
